index,gender,region_large,region_small,age,weight,height,hobbies,user_id
0,1,Zilina Region,Zilina,2X,9X,18X,sleeping,1
1,0,Zilina Region,Kysucke New Town,0X,5X,16X,cooking,2
2,1,Zilina Region,Kysucke New Town,2X,7X,17X,music,16
3,1,Bratislava Region,Bratislava - Karlova Village,2X,5X,16X,traveling,3
4,0,Banská Bystrica Region,Brezno,2X,3X,18X,sports,4
5,0,Zilinsky region,Martin,2X,6X,16X,music,17
6,1,Zilina Region,Zilina,2X,6X,16X,games,5
7,1,Zilina Region,Kysucke New Town,1X,6X,16X,movies,18
8,1,Zilina Region,Kysucke New Town,2X,7X,17X,reading,31
9,1,Zilina Region,Kysucke New Town,2X,8X,17X,movies,19
10,0,Zilina Region,Zilina,3X,5X,16X,camping,6
11,1,Zilina Region,Kysucke New Town,2X,7X,18X,dancing,32
12,0,Zilina Region,Kysucke New Town,2X,6X,17X,swim,20
13,0,Zilinsky region,Martin,2X,5X,15X,sieving,7
14,1,Trencian region,ilava,2X,8X,18X,discos,8
15,1,Zilina Region,Kysucke New Town,2X,6X,17X,well,33
16,0,Banská Bystrica Region,Brezno,0X,5X,17X,friends,9
17,0,Zilina Region,Kysucke New Town,2X,5X,17X,party,46
18,0,Zilina Region,Cadca,1X,5X,17X,party,21
19,0,Zilina Region,Cadca,2X,5X,17X,camping,10
20,1,Zilina Region,Zilina,2X,7X,18X,PC games,34
21,0,Banská Bystrica Region,Brezno,2X,7X,18X,music,11
22,0,Zilina Region,Kysucke New Town,1X,7X,18X,discos,22
23,0,Zilina Region,Kysucke New Town,1X,4X,17X,music,47
24,0,Zilina Region,Kysucke New Town,2X,5X,17X,movies,35
25,1,Banská Bystrica Region,Brezno,2X,9X,18X,traveling,12
26,0,abroad,abroad - France,0X,3X,14X,swim,23
27,1,Zilina Region,Kysucke New Town,2X,7X,17X,traveling,36
28,0,Zilina Region,Zilina,2X,5X,16X,movies,61
29,1,abroad,abroad - others,0X,7X,19X,dancing,48
